,goals_for,goals_against,team,game_id
5513,1.0,0.0,Stade Malherbe Caen,551
5514,1.0,1.0,Stade Malherbe Caen,551
5515,0.0,1.0,EA Guingamp,551
5516,0.0,0.0,EA Guingamp,551
5517,1.0,0.0,EA Guingamp,551
5518,1.0,1.0,EA Guingamp,551
5519,6.0,0.0,EA Guingamp,551
5520,3.0,2.0,Dijon FCO,552
5521,2.0,1.0,Dijon FCO,552
5522,3.0,1.0,Dijon FCO,552
5523,3.0,1.0,Dijon FCO,552
5524,1.0,0.0,Dijon FCO,552
5525,3.0,1.0,Lille OSC,552
5526,1.0,0.0,Lille OSC,552
5527,1.0,2.0,Lille OSC,552
5528,3.0,0.0,Lille OSC,552
5529,3.0,0.0,Lille OSC,552
5530,1.0,1.0,Montpellier-HSC,553
5531,1.0,1.0,Montpellier-HSC,553
5532,0.0,0.0,Montpellier-HSC,553
5533,3.0,0.0,Montpellier-HSC,553
5534,0.0,0.0,Montpellier-HSC,553
5535,1.0,1.0,FC Metz,553
5536,3.0,1.0,FC Metz,553
5537,0.0,3.0,FC Metz,553
5538,0.0,2.0,FC Metz,553
5539,0.0,0.0,FC Metz,553
5540,0.0,3.0,RC Strasbourg,554
5541,2.0,1.0,RC Strasbourg,554
5542,0.0,0.0,RC Strasbourg,554
5543,2.0,2.0,RC Strasbourg,554
5544,2.0,1.0,RC Strasbourg,554
5545,2.0,0.0,Toulouse FC,554
5546,1.0,0.0,Toulouse FC,554
5547,1.0,2.0,Toulouse FC,554
5548,3.0,1.0,Toulouse FC,554
5549,0.0,0.0,Toulouse FC,554
5550,0.0,1.0,ES Troyes AC,555
5551,2.0,0.0,ES Troyes AC,555
5552,3.0,0.0,ES Troyes AC,555
5553,3.0,1.0,ES Troyes AC,555
5554,3.0,0.0,ES Troyes AC,555
5555,1.0,2.0,Amiens SCF,555
5556,2.0,0.0,Amiens SCF,555
5557,2.0,1.0,Amiens SCF,555
5558,0.0,2.0,Amiens SCF,555
5559,3.0,0.0,Amiens SCF,555
5560,1.0,1.0,FC Nantes,556
5561,1.0,0.0,FC Nantes,556
5562,2.0,1.0,FC Nantes,556
5563,4.0,1.0,FC Nantes,556
5564,2.0,1.0,FC Nantes,556
5565,1.0,1.0,Angers SCO,556
5566,1.0,0.0,Angers SCO,556
5567,1.0,2.0,Angers SCO,556
5568,3.0,0.0,Angers SCO,556
5569,1.0,1.0,Angers SCO,556
5570,1.0,2.0,OGC Nice,557
5571,1.0,0.0,OGC Nice,557
5572,3.0,1.0,OGC Nice,557
5573,1.0,2.0,OGC Nice,557
5574,0.0,5.0,OGC Nice,557
5575,0.0,3.0,FC Girondins de Bordeaux,557
5576,3.0,2.0,FC Girondins de Bordeaux,557
5577,3.0,0.0,FC Girondins de Bordeaux,557
5578,1.0,0.0,FC Girondins de Bordeaux,557
5579,1.0,1.0,FC Girondins de Bordeaux,557
5580,1.0,2.0,Olympique Lyonnais,558
5581,1.0,0.0,Olympique Lyonnais,558
5582,1.0,2.0,Olympique Lyonnais,558
5583,1.0,2.0,Olympique Lyonnais,558
5584,0.0,5.0,Olympique Lyonnais,558
5585,3.0,0.0,Olympique de Marseille,558
5586,0.0,0.0,Olympique de Marseille,558
