,name,position,team,game_id,player_id
367,Roussillon,DF,Montpellier-HSC,16,55616
368,Mbenza,FW,Montpellier-HSC,16,103641
369,Skhiri,DM,Montpellier-HSC,16,93851
370,Lasne,MF,Montpellier-HSC,16,38560
371,Camara,FW,Montpellier-HSC,16,2621
372,Bérigaud,FW,Montpellier-HSC,16,50852
373,Sio,FW,Montpellier-HSC,16,44772
374,Kamara,XX,RC Strasbourg,17,103904
375,Lala,DF,RC Strasbourg,17,62191
376,Mangane,DF,RC Strasbourg,17,12283
377,Salmier,DF,RC Strasbourg,17,110491
378,Martínez,DF,RC Strasbourg,17,81774
379,Aholou,DM,RC Strasbourg,17,85538
380,Martin,MF,RC Strasbourg,17,51194
381,Da Costa,FW,RC Strasbourg,17,104478
382,Corgnet,AM,RC Strasbourg,17,50881
383,Sacko,FW,RC Strasbourg,17,110492
384,Saadi,FW,RC Strasbourg,17,46170
385,Maignan,XX,Lille OSC,17,81994
386,Edgar Ié,DF,Lille OSC,17,75774
387,Amadou,DM,Lille OSC,17,74398
388,Alonso,DF,Lille OSC,17,77052
389,Malcuit,DF,Lille OSC,17,47300
390,Thiago Mendes,MF,Lille OSC,17,79916
391,Ballo-Toure,DF,Lille OSC,17,105273
392,El-Ghazi,FW,Lille OSC,17,92965
393,Benzia,AM,Lille OSC,17,70642
394,Luiz Araújo,FW,Lille OSC,17,108919
395,De Préville,FW,Lille OSC,17,41128
396,Reynet,XX,Dijon FCO,18,62178
397,Yambere,DF,Dijon FCO,18,95738
398,Varrault,DF,Dijon FCO,18,2614
399,Lang,DF,Dijon FCO,18,73107
400,Rosier,DF,Dijon FCO,18,116905
401,Amalfitano,MF,Dijon FCO,18,50897
402,Marié,DM,Dijon FCO,18,81786
403,Bouka Moutou,MF,Dijon FCO,18,73528
404,CH Kwon,AM,Dijon FCO,18,80447
405,Saïd,FW,Dijon FCO,18,79468
406,Sliti,FW,Dijon FCO,18,62655
407,Subašić,XX,AS Monaco,18,39386
408,Sidibe,DF,AS Monaco,18,63254
409,Glik,DF,AS Monaco,18,31005
410,Jemerson,DF,AS Monaco,18,80756
411,Jorge,DF,AS Monaco,18,95762
412,Lopes,FW,AS Monaco,18,76765
413,João Moutinho,MF,AS Monaco,18,1159
414,Fabinho,DM,AS Monaco,18,73889
415,Lemar,MF,AS Monaco,18,81768
416,Falcao,FW,AS Monaco,18,4985
417,Diakhaby,FW,AS Monaco,18,111039
418,Johnsson,XX,EA Guingamp,19,27032
419,Ikoko,DF,EA Guingamp,19,82743
420,Kerbrat,DF,EA Guingamp,19,61035
421,Sorbon,DF,EA Guingamp,19,11153
422,Rebocho,DF,EA Guingamp,19,101269
423,Coco,FW,EA Guingamp,19,98346
424,Didot,MF,EA Guingamp,19,2658
425,Déaux,DM,EA Guingamp,19,22343
426,Camara,FW,EA Guingamp,19,35129
427,Salibur,FW,EA Guingamp,19,38607
428,Briand,FW,EA Guingamp,19,2663
429,Aréola,XX,Paris Saint-Germain FC,19,51211
430,Daniel Alves,DF,Paris Saint-Germain FC,19,941
431,Marquinhos,DF,Paris Saint-Germain FC,19,70255
432,Thiago Silva,DF,Paris Saint-Germain FC,19,16839
433,Kurzawa,DF,Paris Saint-Germain FC,19,53511
434,Verratti,MF,Paris Saint-Germain FC,19,44932
435,Thiago Motta,DM,Paris Saint-Germain FC,19,295
436,Rabiot,MF,Paris Saint-Germain FC,19,73635
437,Di Maria,FW,Paris Saint-Germain FC,19,5016
438,Cavani,FW,Paris Saint-Germain FC,19,6737
439,Neymar,FW,Paris Saint-Germain FC,19,34907
440,Didillon,XX,FC Metz,20,103893
441,Rivierez,DF,FC Metz,20,44581
442,Diagne,DF,FC Metz,20,28322
443,Niakhaté,DF,FC Metz,20,103642
444,Assou Ekotto,DF,FC Metz,20,778
445,Cafú,DM,FC Metz,20,74719
446,Poblete,MF,FC Metz,20,62314
447,Jouffre,MF,FC Metz,20,15193
448,Cohade,MF,FC Metz,20,11220
449,Jallow,FW,FC Metz,20,120660
450,Roux,FW,FC Metz,20,28351
451,Subašić,XX,AS Monaco,20,39386
452,Sidibe,DF,AS Monaco,20,63254
453,Glik,DF,AS Monaco,20,31005
454,Jemerson,DF,AS Monaco,20,80756
455,Jorge,DF,AS Monaco,20,95762
456,Lopes,FW,AS Monaco,20,76765
457,João Moutinho,MF,AS Monaco,20,1159
458,Fabinho,DM,AS Monaco,20,73889
459,Lemar,MF,AS Monaco,20,81768
460,Falcao,FW,AS Monaco,20,4985
461,Diakhaby,FW,AS Monaco,20,111039
462,Lopes,XX,Olympique Lyonnais,21,51203
463,Tete,DF,Olympique Lyonnais,21,92966
464,Marcelo,DF,Olympique Lyonnais,21,17121
465,Morel,DF,Olympique Lyonnais,21,2625
466,Marçal,DF,Olympique Lyonnais,21,67469
467,Tousart,DM,Olympique Lyonnais,21,103639
468,Sergi Darder,MF,Olympique Lyonnais,21,82232
