,name,age,position,ovr_rating,pot_rating
19,Ricardo Álvarez,26,CFCAM,77,81
20,Alessandro Florenzi,23,RWLWCM,77,83
21,André Carrillo,23,RWLW,77,83
22,Marcos Rojo,24,CB,77,82
23,Emmanuel Gigliotti,27,ST,77,78
24,Marko Dević,30,ST,77,77
25,Nacer Chadli,25,LMCAM,77,82
26,Jan Oblak,21,GK,77,85
27,Sebastian Rode,23,CDMCM,77,82
28,Aras Özbiliz,24,RWRM,77,82
29,Danilo,23,RB,77,84
0,Ross Barkley,20,CAM,77,86
1,Leandro Damião,25,ST,77,82
2,Pierre-Michel Lasogga,22,ST,77,82
3,Patrick Herrmann,23,RM,77,81
4,Mattia Perin,21,GK,77,84
5,Grzegorz Krychowiak,24,CDM,77,82
6,Joel Matip,23,CBCDM,77,81
7,Yaroslav Rakitskyi,25,CBLB,77,79
8,Montoya,23,RBLB,77,83
9,Neto,25,GK,77,82
10,Yuto Nagatomo,28,LMLB,77,79
11,Víctor Ruíz,25,CBCM,77,82
12,Roberto Pereyra,23,CAMCMCFRW,77,81
13,Maxime Lestienne,22,LWRW,77,85
14,José Cañas,27,CDMCM,77,78
15,Bruno César,25,CAMLMRM,77,81
16,Hernán Barcos,30,ST,77,77
17,Fredy Montero,27,ST,77,81
18,Daley Blind,24,CDMLB,77,80
19,Jeroen Zoet,23,GK,77,83
20,Adem Ljajić,22,LWRWCF,77,83
21,Sergio Canales,23,CAMLMRW,77,84
22,De Marcos,25,RBRWCM,77,80
23,Rafael,24,RB,77,83
24,Iborra,26,CDMCM,77,80
25,Parejo,25,CDMCAMCM,77,84
26,Miguel Angel Britos,29,CB,77,79
27,WalterL,25,ST,77,79
28,Thomas Heurtaux,26,CBRB,77,81
29,Kyle Walker,24,RB,77,82
0,Bruno Ecuélé Manga,26,CB,77,79
1,James McCarthy,23,CDMCM,77,83
2,Bruno Rodrigo,29,CB,77,77
3,Mauricio Isla,26,RM,77,82
4,Lars Stindl,26,RMCDMCM,77,80
5,Alberto Paloschi,24,ST,77,85
6,Siem de Jong,25,CAMST,77,79
7,Ivelin Popov,26,CAM,77,80
8,Andrea Poli,24,CAMCDM,77,84
9,Nilton,27,CDM,77,77
10,Joe Allen,24,CMCDM,77,82
11,Sebastian Giovinco,27,CF,77,84
12,Nicolai Müller,26,RMSTLMCM,77,80
13,Angelo Ogbonna,26,CB,77,84
14,Marco Parolo,29,CMCDM,77,80
15,Andy Carroll,25,ST,77,80
16,Felipe,30,GK,77,77
17,Ivan Perišić,25,LMCAMRM,77,81
18,Guilherme,28,GK,77,79
19,Ralf Fährmann,25,GK,77,79
20,Pablo Hernández,29,LWCAM,77,77
